Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
"[20, 25, 30]",relu,0.0001,64,10,0.43228164315223694,0.4588235318660736,1.7510221004486084,wine_quality
"[20, 25, 30]",relu,0.0001,64,15,0.4286263883113861,0.4575163424015045,2.630094051361084,wine_quality
"[20, 25, 30]",relu,0.0001,64,20,0.4234320819377899,0.4601307213306427,3.509986162185669,wine_quality
"[20, 25, 30]",relu,0.0001,128,10,0.4272797107696533,0.4562091529369354,1.169722318649292,wine_quality
"[20, 25, 30]",relu,0.0001,128,15,0.43228164315223694,0.4588235318660736,1.737720012664795,wine_quality
"[20, 25, 30]",relu,0.0001,128,20,0.4326664209365845,0.4588235318660736,2.358297824859619,wine_quality
"[20, 25, 30]",sigmoid,0.01,32,10,0.42323970794677734,0.4627451002597809,3.2058157920837402,wine_quality
"[20, 25, 30]",sigmoid,0.01,32,15,0.4107348918914795,0.4588235318660736,5.024487018585205,wine_quality
"[20, 25, 30]",sigmoid,0.01,32,20,0.4066948890686035,0.4483660161495209,6.216738939285278,wine_quality
"[20, 25, 30]",sigmoid,0.01,64,10,0.406310111284256,0.4274509847164154,1.8324368000030518,wine_quality
"[20, 25, 30]",sigmoid,0.01,64,15,0.4036167860031128,0.4156862795352936,2.6973698139190674,wine_quality
"[20, 25, 30]",sigmoid,0.01,64,20,0.3830319344997406,0.4313725531101227,3.6178619861602783,wine_quality
"[20, 25, 30]",sigmoid,0.01,128,10,0.3495575189590454,0.31111112236976624,1.1754260063171387,wine_quality
"[20, 25, 30]",sigmoid,0.01,128,15,0.3528279960155487,0.30718955397605896,1.782846212387085,wine_quality
"[20, 25, 30]",sigmoid,0.01,128,20,0.4066948890686035,0.4104575216770172,2.5478086471557617,wine_quality
"[20, 25, 30]",sigmoid,0.001,32,10,0.3424394130706787,0.29281046986579895,3.156818389892578,wine_quality
"[20, 25, 30]",sigmoid,0.001,32,15,0.37168142199516296,0.3333333432674408,5.564877033233643,wine_quality
"[20, 25, 30]",sigmoid,0.001,32,20,0.3489803671836853,0.3006536066532135,5.971573829650879,wine_quality
"[20, 25, 30]",sigmoid,0.001,64,10,0.352058470249176,0.2862745225429535,1.7787127494812012,wine_quality
"[20, 25, 30]",sigmoid,0.001,64,15,0.3439784646034241,0.29150328040122986,3.196181058883667,wine_quality
"[20, 25, 30]",sigmoid,0.001,64,20,0.34551751613616943,0.29281046986579895,3.8016409873962402,wine_quality
"[20, 25, 30]",sigmoid,0.001,128,10,0.3420546352863312,0.2875817120075226,1.215123176574707,wine_quality
"[20, 25, 30]",sigmoid,0.001,128,15,0.34994229674339294,0.2849673330783844,1.7645690441131592,wine_quality
"[20, 25, 30]",sigmoid,0.001,128,20,0.35109657049179077,0.29281046986579895,2.385380744934082,wine_quality
"[20, 25, 30]",sigmoid,0.0001,32,10,0.43343594670295715,0.4588235318660736,2.9722771644592285,wine_quality
"[20, 25, 30]",sigmoid,0.0001,32,15,0.43343594670295715,0.4588235318660736,4.496165037155151,wine_quality
"[20, 25, 30]",sigmoid,0.0001,32,20,0.43285879492759705,0.4588235318660736,6.080995798110962,wine_quality
"[20, 25, 30]",sigmoid,0.0001,64,10,0.4330511689186096,0.4588235318660736,1.772010087966919,wine_quality
"[20, 25, 30]",sigmoid,0.0001,64,15,0.43343594670295715,0.4588235318660736,4.647257089614868,wine_quality
"[20, 25, 30]",sigmoid,0.0001,64,20,0.43343594670295715,0.4588235318660736,6.744860887527466,wine_quality
"[20, 25, 30]",sigmoid,0.0001,128,10,0.33435937762260437,0.2849673330783844,1.6630618572235107,wine_quality
"[20, 25, 30]",sigmoid,0.0001,128,15,0.33435937762260437,0.2849673330783844,2.8838071823120117,wine_quality
"[20, 25, 30]",sigmoid,0.0001,128,20,0.43343594670295715,0.4588235318660736,6.377057075500488,wine_quality
[2],tanh,0.01,32,10,0.6379310488700867,0.6511628031730652,0.24496722221374512,cong_voting
[2],tanh,0.01,32,15,0.6379310488700867,0.6511628031730652,0.4286510944366455,cong_voting
[2],tanh,0.01,32,20,0.6436781883239746,0.6511628031730652,0.3813900947570801,cong_voting
[2],tanh,0.01,64,10,0.6551724076271057,0.6511628031730652,0.1297621726989746,cong_voting
[2],tanh,0.01,64,15,0.6379310488700867,0.6511628031730652,0.21120285987854004,cong_voting
[2],tanh,0.01,64,20,0.6321839094161987,0.6511628031730652,0.2041759490966797,cong_voting
[2],tanh,0.01,128,10,0.6551724076271057,0.6511628031730652,0.08454012870788574,cong_voting
[2],tanh,0.01,128,15,0.6551724076271057,0.6279069781303406,0.11763286590576172,cong_voting
[2],tanh,0.01,128,20,0.6379310488700867,0.6511628031730652,0.1617259979248047,cong_voting
[2],tanh,0.001,32,10,0.3735632300376892,0.3720930218696594,0.18889594078063965,cong_voting
[2],tanh,0.001,32,15,0.3735632300376892,0.3720930218696594,0.23480796813964844,cong_voting
