Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Average Accuracy,Average F1,Average Training Time,dataset
"[27, 33]",sigmoid,0.016547222420631065,128,9,0.898635601184065,0.8732990738554639,6.554380083084107,bank_marketing
"[26, 32]",sigmoid,0.01651175084479334,64,9,0.8982471632818279,0.8736582081390672,11.808917665481568,bank_marketing
"[27, 32]",sigmoid,0.022281218335720714,32,9,0.8987327268703268,0.8708590368270448,16.963338994979857,bank_marketing
"[26, 32]",tanh,0.006018922116196511,32,10,0.8956735934408314,0.8747879958036938,19.2059223651886,bank_marketing
"[27, 33]",sigmoid,0.006449784650942521,64,8,0.8982956951772542,0.8738257529260437,10.500240993499755,bank_marketing
"[26, 33]",relu,0.0030222938440818675,128,10,0.8981014821209363,0.8745561876009796,8.669683027267457,bank_marketing
"[26, 33]",sigmoid,0.017319618960491265,128,8,0.8985142419714949,0.8744135085637547,7.147197198867798,bank_marketing
"[26, 33]",relu,0.005949680664343447,64,10,0.8982714233347402,0.8730867026395958,14.083613967895507,bank_marketing
"[27, 33]",sigmoid,0.01415025929695753,64,10,0.8986355923418639,0.872773440505631,12.122858810424805,bank_marketing
"[26, 32]",sigmoid,0.013741523613788047,128,10,0.8975431265840988,0.8766940460076595,7.325356292724609,bank_marketing
"[25, 34]",tanh,0.006866606641527378,64,9,0.8972031351026754,0.8741175166391205,12.191787958145142,bank_marketing
"[25, 32]",sigmoid,0.009394684744123284,32,9,0.8973488398427703,0.8728872031554179,19.801358556747438,bank_marketing
"[27, 33]",sigmoid,0.0056049651792074735,32,9,0.8981743624912877,0.8741419391452249,20.380420541763307,bank_marketing
"[26, 34]",sigmoid,0.009760109757732473,64,8,0.8981986137019989,0.8736200805499921,10.250316190719605,bank_marketing
"[25, 33]",tanh,0.013273017144900591,128,9,0.8946052668925614,0.8761303779883113,7.584057140350342,bank_marketing
"[26, 33]",sigmoid,0.015620120302251912,32,8,0.8984899347601758,0.8712575805781795,16.6173508644104,bank_marketing
"[26, 32]",tanh,0.005588034496832201,128,8,0.896717656988789,0.8762225947345273,6.747549152374267,bank_marketing
"[26, 34]",relu,0.012957491367140325,64,8,0.8983442418096826,0.8697249371285627,10.216748428344726,bank_marketing
"[25, 32]",sigmoid,0.013655105524137463,64,10,0.8976158861110328,0.8723894946710322,14.422809934616089,bank_marketing
"[24, 34]",sigmoid,0.011671611118242926,128,10,0.897543114794497,0.8768487956557722,7.782383632659912,bank_marketing
"[26, 32]",tanh,0.003665008240659271,64,9,0.8971788779971636,0.8757797427753609,8.788745546340943,bank_marketing
"[25, 33]",relu,0.008997721606900102,128,8,0.8978587018003872,0.872376080204547,5.081051397323608,bank_marketing
"[27, 32]",sigmoid,0.001,128,9,0.8987327592917314,0.8734427853102993,5.688244724273682,bank_marketing
"[27, 33]",relu,0.010165853287641543,32,10,0.8987813118189607,0.8729167926440964,16.808335494995116,bank_marketing
"[27, 32]",tanh,0.001,64,10,0.8964748324572334,0.8727460066378384,12.529171180725097,bank_marketing
"[25, 31]",sigmoid,0.001,32,9,0.8981743094380802,0.8723913776008974,19.677555084228516,bank_marketing
"[25, 31]",tanh,0.006126243587923368,32,10,0.8949695980067085,0.874775972931247,17.876442623138427,bank_marketing
"[25, 32]",tanh,0.001,32,9,0.8962320432944828,0.8742776104987602,19.259448719024657,bank_marketing
"[26, 32]",sigmoid,0.004676028000153917,128,9,0.8984899671815804,0.874045024081958,7.811647558212281,bank_marketing
"[25, 32]",tanh,0.002317457111283186,64,9,0.8948481651091276,0.8740963054950344,11.220961380004884,bank_marketing
"[26, 31]",tanh,0.001,32,9,0.8967904342001255,0.8724403895236665,19.196997308731078,bank_marketing
"[26, 33]",sigmoid,0.010837616506638873,64,8,0.8984899642341801,0.8740569191885218,9.678605842590333,bank_marketing
"[25, 32]",tanh,0.001,128,8,0.897907251380216,0.874010002469498,9.419094610214234,bank_marketing
"[27, 32]",sigmoid,0.001,128,10,0.8981986343338019,0.873774462904176,10.941893768310546,bank_marketing
"[26, 32]",tanh,0.001,128,9,0.8969361183084172,0.8742045991703801,9.653926706314087,bank_marketing
"[25, 32]",tanh,0.001630041582198401,32,9,0.8945569000515589,0.874256721162826,27.271382427215578,bank_marketing
"[25, 31]",sigmoid,0.007791155865028184,64,10,0.8979072160114109,0.8748461488250682,15.13853154182434,bank_marketing
"[27, 33]",sigmoid,0.008206556224377921,64,9,0.8982957334934596,0.8735091799980299,16.827931356430053,bank_marketing
"[26, 31]",relu,0.001,128,10,0.8968147561484467,0.8738358589864339,10.173205423355103,bank_marketing
"[27, 32]",relu,0.012223959335394071,128,8,0.8974217437923251,0.8714474458353065,8.963480949401855,bank_marketing
"[27, 33]",tanh,0.005935871452627299,64,9,0.8967419140943008,0.8760848645664427,16.20705690383911,bank_marketing
"[27, 33]",sigmoid,0.006851275110678248,128,8,0.8978586693789824,0.8736855549246603,10.922874164581298,bank_marketing
